CLIENTE;DATA_FINANCIAMENTO;TARGET_M3OVER30;IDADE;ESTADO;RENDA;LIMITE_CARTAO;VALOR_FINANC_VEICULOS_ATUAL;SCORE_MERCADO;VALOR_VEICULO;ANO_VEICULO
19;2021-12;0;35.0;MG;5246.757291167735;10616.402124443228;0.0;691.0;37523,02;2021.0
20;2021-11;0;36.0;SP;2450.0;11136.87;19194.311725466257;837.9467665874672;36024,57;2020.0
21;2021-11;0;43.0;SP;2544.218888862119;973.8846823819404;0.0;887.552684981554;45333,22;2021.0
22;2021-11;0;41.0;PR;6450.0;0.0;86495.52;647.5503039692948;37355,56;2021.0
23;2021-12;1;31.0;SP;7302.746394569413;1370.5812096786135;0.0;841.7384368713178;27091,63;2020.0
24;2021-12;1;58.0;RJ;3803.5092521310617;21907.655334987678;0.0;863.9999999999999;43139,76;2018.0
25;2021-11;0;59.0;PR;13155.030627201106;12386.93;0.0;972.2034587691572;38465,67;2020.0
26;2021-12;0;47.0;MG;2400.0;3460.781236759263;0.0;712.0;49303,02;2021.0
27;2021-11;0;32.0;CE;12144.992468066814;5295.429900828753;0.0;989.6867384073923;27265,94;2020.0
28;2021-11;0;33.0;SP;12758.061870368374;21832.891781508813;0.0;913.0000000000002;57955,03;2020.0
29;2021-12;0;26.0;CE;14330.907918263898;0.09;0.0;467.0;44382,09;2015.0
30;2021-11;1;39.0;SC;9800.0;19515.49;0.0;984.0729324445768;43454,26;2021.0
31;2021-10;0;65.0;RJ;4057.076561630127;11094.92030777076;0.0;911.0;33244,18;2021.0
1186;2021-10;1;56.0;RJ;17107.641066418844;0.0;71094.89875958642;508.0;37816,24;2019.0
33;2021-10;0;32.0;SP;4950.0;14845.442314778182;10603.124800961517;251.86344842242477;38019,62;2020.0
34;2021-11;0;64.0;SP;11915.367868596517;16202.706869548741;0.0;614.9999999999999;46906,51;2021.0
35;2021-12;1;61.0;RJ;3250.0;1603.68;0.0;901.9999999999999;29877,88;2018.0
36;2021-12;0;57.0;SC;11204.203390337068;0.0;0.0;836.8160300755983;26791,74;2020.0
37;2021-11;1;26.0;RJ;20501.384744906965;94862.38533958067;84753.09911370314;620.0;42192,64;2019.0
38;2021-11;0;36.0;RJ;15396.604616318773;11097.47891638306;0.0;740.4633518564701;45200,28;2017.0
39;2021-10;0;48.0;SP;10154.617955067717;1566.2657230128011;0.0;675.3784258736571;43562,96;2021.0
40;2021-12;0;43.0;CE;1350.0;8836.13053258428;0.0;741.6566689651847;46350,12;2020.0
41;2021-11;1;41.0;SC;4122.23564230756;4928.04;0.0;823.0;39420,04;2020.0
42;2021-11;0;32.0;SP;8653.991128799988;5622.580548958257;39588.0048539798;956.7984747445561;42646,95;2020.0
43;2021-10;1;52.0;SP;1600.0;8.85;0.0;709.2713662272242;31782,36;2020.0
44;2021-10;1;;RJ;1000.0;14179.390284764282;0.0;879.1464121849506;37858,04;2021.0
45;2021-10;0;33.0;SP;20412.702632349796;16797.891756264486;0.0;624.5163601077435;39162,17;2021.0
46;2021-12;0;53.0;PR;24299.393023540655;14527.089196530602;0.0;637.0;39230,45;2021.0
47;2021-12;1;55.0;RJ;26743.655225661176;40180.389879768256;0.0;950.9999999999999;45384,93;2020.0
48;2021-11;0;41.0;SC;1650.0;11333.543699043981;0.0;680.0;44710,56;2021.0
49;2021-12;0;27.0;SP;2200.0;12.57;0.0;905.0840133403649;38952,62;2021.0
50;2021-11;0;62.0;RJ;4964.328234904337;10650.269001801818;0.0;605.0;39839,87;2021.0
51;2021-10;1;32.0;PR;9502.350061154477;27781.578203273224;0.0;966.0946469836449;38221,24;2020.0
52;2021-10;1;46.0;RJ;1950.0;6218.662284550306;64625.270379269816;576.0;30979,63;2020.0
53;2021-11;0;38.0;SP;5965.911811550387;789.3906548243779;0.0;650.7860793879444;38612,29;2020.0
54;2021-11;0;61.0;SP;12183.284351271748;4098.821315158225;0.0;872.6035036824767;51551,39;2019.0
55;2021-12;0;63.0;PR;2950.0;9491.970087304107;0.0;653.3155362710704;47699,79;2020.0
56;2021-12;0;50.0;RJ;16181.683743348289;15348.274208378283;56108.51619585847;786.9999999999999;41757,53;2020.0
57;2021-10;0;54.0;RJ;16720.822175618043;0.0;42112.96511477474;773.9610616120731;35719,76;2020.0
58;2021-10;0;40.0;SC;24662.599929571268;1143.0;32400.212380188634;820.0;28451,03;2020.0
59;2021-12;0;63.0;SP;2000.0;7272.0;0.0;842.1776630991627;41899,74;2017.0
60;2021-10;1;44.0;MG;2504.878016888269;12945.70630092433;0.0;943.6205205228584;39626,22;2020.0
61;2021-10;1;34.0;RJ;1500.0;13421.972250386494;0.0;890.58530119516;38064,35;2021.0
62;2021-12;0;43.0;CE;5450.0;0.0;0.0;878.0000000000001;48449,92;2020.0
63;2021-10;0;46.0;MG;6645.868047590025;12194.076423945962;0.0;748.6518392368155;41287,15;2020.0
64;2021-10;1;58.0;RJ;3200.0;4232.008605501647;0.0;568.0;49939,85;2021.0
65;2021-11;0;36.0;SP;2600.0;212.04;0.0;680.0;35203,54;2021.0
66;2021-10;0;57.0;SP;3859.600798806711;208.03;29591.870366901298;743.0;37304,48;2020.0
6097;2021-12;1;48.0;CE;5519.718924610783;394.0;0.0;727.7660706092774;44943,98;2021.0
68;2021-10;0;24.0;MG;1700.0;6222.704451614532;0.0;680.0;40283,17;2021.0
69;2021-10;1;53.0;MG;11517.645716621115;23358.729059179874;20579.1412243686;846.8899615029029;26503,73;2020.0
70;2021-10;0;47.0;SC;8223.695415293;1686.23;29467.590292345332;685.0;38589,52;2021.0
71;2021-12;1;46.0;RJ;23850.13312301538;42379.956963578355;119867.74;550.0;32503,39;2015.0
72;2021-10;0;29.0;SP;2900.0;26108.163745253958;26290.236640245734;628.0;42147,86;2021.0
73;2021-11;0;35.0;PR;10394.503135469848;1149.22;0.0;795.0000000000001;42604,67;2021.0
74;2021-12;0;43.0;MG;1900.0;14171.926737947811;0.0;924.3485891043404;36503,77;2020.0
75;2021-10;0;53.0;SP;2500.0;18.45;0.0;679.5393735277098;35278,99;2020.0
76;2021-11;0;31.0;SC;7657.891090512761;27469.28763364217;0.0;;41326,72;2021.0
77;2021-12;0;44.0;MG;4100.0;4179.678416761065;0.0;576.0000000000001;44356,78;2021.0
78;2021-11;1;40.0;MG;2000.0;367.44;0.0;639.0000000000001;46556,88;2021.0
79;2021-11;0;27.0;MG;1650.0;21025.98323498467;8600.395943154632;919.6153840350971;48980,29;2020.0
80;2021-10;1;35.0;MG;3150.0;0.0;0.0;576.9999999999999;27893,84;2020.0
81;2021-12;1;58.0;SP;4850.0;2368.58;0.0;747.0;28562,40;2020.0
82;2021-12;0;37.0;SP;5592.6569848495765;957.65;0.0;624.0000000000001;34191,67;2020.0
83;2021-11;1;62.0;MG;9687.151863819323;5748.85;0.0;939.0;43786,24;2020.0
84;2021-10;0;46.0;CE;21570.07491521086;2326.54;174007.29;800.0;38356,89;2021.0
85;2021-12;1;27.0;SP;4752.351071077355;5707.24;30625.01977185872;626.0;35803,05;2020.0
86;2021-10;0;29.0;SP;2600.0;11900.43268702972;0.0;875.5276348187405;49363,81;2017.0
87;2021-11;0;32.0;SP;13916.917766203675;4949.07;36417.78;700.0000000000002;49862,92;2021.0
88;2021-12;0;42.0;RJ;3200.0;11469.56;23795.523547725228;823.0;37106,36;2020.0
89;2021-12;0;55.0;RJ;7703.770041144233;14201.05;0.0;708.0;41714,68;2021.0
90;2021-12;0;52.0;SP;1722.6216687107883;11221.057381241777;0.0;943.4683763732708;38873,34;2021.0
91;2021-11;0;53.0;SP;3035.5714311376805;0.0;0.0;601.1663138277895;31029,88;2021.0
92;2021-12;1;50.0;CE;1300.0;11948.03137378946;0.0;968.5465139277733;44019,71;2021.0
93;2021-12;0;58.0;SP;2549.198061586226;9353.485702707343;0.0;971.7329953848009;41773,05;2020.0
94;2021-11;0;38.0;SP;16873.054608861195;6385.424094419272;0.0;832.0;41825,95;2020.0
95;2021-12;0;24.0;MG;16245.389276298616;3729.309363884601;0.0;417.0;29329,79;2015.0
96;2021-11;0;62.0;SC;17939.378382838913;3533.13;0.0;720.3209917760685;40474,06;2020.0
97;2021-10;0;55.0;SP;4026.2177740767747;52.08;0.0;779.3710856544847;34946,85;2020.0
98;2021-12;0;27.0;SC;2878.8521417941074;3248.48;0.0;803.9999999999999;36632,00;2020.0
99;2021-11;0;26.0;PR;3857.2556443482454;13356.735560401763;43092.18609072313;840.5363819608657;34416,22;2020.0
100;2021-12;0;59.0;MG;4000.0;10306.133797801416;0.0;846.0;40825,64;2021.0
101;2021-10;0;24.0;SP;1150.0;3287.6;12135.919190824721;744.9999999999999;55372,83;2020.0
102;2021-12;1;29.0;SP;1650.0;;;592.3967203912197;43646,21;2020.0
103;2021-11;0;30.0;SP;4118.47209388194;0.0;0.0;745.04571584957;39377,35;2017.0
104;2021-10;1;24.0;SP;15655.167504164076;6992.764690917164;0.0;805.9604786889615;28250,32;2020.0
105;2021-10;1;61.0;RJ;2600.0;16830.583861178216;0.0;917.108468357698;32396,18;2021.0
106;2021-11;0;69.0;CE;1600.0;0.0;14571.737472123787;901.2355634713224;49691,27;2020.0
107;2021-12;1;51.0;CE;3474.728530453235;0.0;0.0;791.4958824886701;46189,21;2015.0
108;2021-10;0;39.0;MG;31863.8139108462;7484.541127004551;19023.790583574406;924.1266864715387;31251,38;2015.0
109;2021-10;0;58.0;PR;8834.817705217789;1379.3711109598494;0.0;983.6941283771096;33892,43;2020.0
110;2021-11;0;33.0;SP;6097.610608529459;2210.8;0.0;766.493392059487;37572,49;2017.0
111;2021-10;0;44.0;SC;8500.0;5252.8;0.0;726.0;26722,37;2020.0
112;2021-11;0;27.0;SP;3000.0;4697.527857415198;0.0;860.5651062395123;61383,08;2021.0
113;2021-11;0;30.0;RJ;5888.921816478506;21617.80810220923;0.0;743.0;39537,35;2020.0
114;2021-12;0;46.0;SP;2600.0;9987.690613673025;0.0;630.0;43589,58;2021.0
115;2021-12;0;24.0;MG;24279.771258956545;6412.472908643547;0.0;917.0016265075096;28641,22;2021.0
116;2021-11;0;65.0;MG;1600.0;5673.763369369968;17708.68449414153;892.6715509691838;67989,23;2015.0
117;2021-10;0;45.0;CE;12837.689442906274;1084.75;0.0;646.9999999999999;31629,12;2020.0
118;2021-11;1;32.0;PR;1700.0;3430.0725399713;0.0;743.9027786349377;45400,13;2021.0
119;2021-12;0;61.0;PR;2300.0;13238.233361393373;0.0;846.0;38233,34;2021.0
120;2021-11;0;42.0;SP;5536.486512884716;8221.19054100162;0.0;733.150591972068;47100,51;2020.0
121;2021-11;0;69.0;SP;2550.0;592.29;0.0;760.690576797605;37571,27;2020.0
122;2021-11;0;25.0;SP;1700.0;30954.213017019112;0.0;971.0722537416159;39996,34;2017.0
123;2021-11;0;36.0;PR;3150.0;18479.982592142685;0.0;850.0;33206,16;2020.0
124;2021-12;1;51.0;CE;4080.633190938037;0.0;83121.30501556813;665.0;48645,92;2018.0
125;2021-10;1;33.0;SP;1150.0;3341.0;0.0;717.6144804378862;44087,41;2020.0
126;2021-11;0;51.0;SP;1400.0;5392.947497523865;0.0;417.0;28329,54;2020.0
127;2021-12;0;41.0;SP;8318.071045876635;12861.477512449716;41756.757380374394;759.2455118186796;42242,49;2016.0
128;2021-10;0;53.0;CE;10224.95243771585;4527.533635908045;0.0;612.0061017273688;44329,16;2020.0
129;2021-11;0;27.0;SP;3120.8370639439872;9480.361021059305;30579.319757380486;542.0;35735,60;2018.0
4889;2021-12;1;28.0;RJ;9585.6080039189;0.0;0.0;861.0402289650815;45571,37;2021.0
131;2021-10;0;25.0;SP;2742.0319087849903;7030.651650606482;0.0;960.8413599103745;38572,01;2020.0
132;2021-10;1;57.0;SP;3000.0;6298.913229632343;0.0;972.2232256327613;41091,74;2020.0
133;2021-12;1;45.0;SP;1800.0;2530.0;0.0;564.1558592476309;34870,21;2021.0
134;2021-10;0;47.0;SP;7000.0;5748.85;0.0;823.0201352121205;41841,08;2018.0
135;2021-12;0;57.0;CE;1800.0;5244.406136804293;0.0;822.1749593934665;42275,45;2020.0
136;2021-10;0;28.0;CE;6779.412203303378;16251.628431208552;0.0;769.7162594456776;31074,13;2020.0
137;2021-12;1;70.0;CE;28900.0;0.0;0.0;578.0;44401,67;2021.0
5892;2021-11;0;60.0;PR;1250.0;1.18;0.0;966.6620905750326;39664,58;2020.0
139;2021-12;0;32.0;SP;3100.0;12523.659093139704;0.0;639.0;44952,66;2021.0
140;2021-12;0;28.0;RJ;1350.0;2238.9871981540405;0.0;786.736694400579;41963,75;2021.0
141;2021-11;0;35.0;SP;11300.19939705323;26452.169688093178;34455.68070162508;842.3159484218719;41255,62;2020.0
142;2021-10;0;60.0;SP;16845.913513610783;111683.75;340139.06;864.1528775714198;33200,53;2021.0
143;2021-10;1;37.0;RJ;2016.5560405004678;1.0;0.0;787.0696838992724;47453,66;2020.0
144;2021-12;0;55.0;SP;2200.0;86024.63059848346;100895.30659520363;809.4679792458734;32060,40;2020.0
145;2021-12;1;29.0;MG;1350.0;0.0;0.0;796.077037979055;32074,83;2020.0
146;2021-11;0;24.0;CE;20445.928110830286;390.1;0.0;494.0000000000001;38986,31;2020.0
147;2021-12;0;52.0;MG;1750.0;0.0;0.0;353.9543874810131;32553,78;2021.0
148;2021-10;1;49.0;CE;20603.97387114086;10377.498162809654;0.0;708.0;38900,64;2018.0
149;2021-12;0;32.0;PR;2750.0;19027.87681703749;42893.750837463;657.0;31143,76;2021.0
150;2021-10;0;58.0;CE;2050.0;7089.8;14369.844271457967;807.0;40353,31;2016.0
151;2021-12;0;36.0;MG;20822.451511534968;11852.504006596164;0.0;738.0;42091,04;2021.0
152;2021-10;0;27.0;RJ;2150.0;938.0;0.0;851.0216281825003;44572,25;2021.0
153;2021-10;1;47.0;PR;1750.0;2024.0;0.0;641.0;44324,55;2021.0
154;2021-12;0;35.0;SP;9383.324249026944;11166.580769755;0.0;410.0;46345,37;2020.0
155;2021-12;0;35.0;SP;6200.0;34630.165166750354;97697.5;682.0;41990,99;2020.0
156;2021-10;1;26.0;SP;6305.776016156773;1148.8124644356762;0.0;968.5659059050059;47106,82;2020.0
157;2021-12;0;61.0;CE;13986.87979557773;18777.39992724264;0.0;710.4301514214951;26643,00;2020.0
158;2021-10;1;39.0;PR;1650.0;0.0;0.0;912.6066931621862;39241,67;2021.0
159;2021-10;1;31.0;SP;3500.0;6938.7322134184105;0.0;979.3130946246747;45402,25;2021.0
160;2021-11;0;41.0;RJ;13838.730663719763;537.48;0.0;558.0;45544,42;2020.0
161;2021-12;0;68.0;RJ;2450.0;23427.75;0.0;663.0;38080,54;2020.0
162;2021-12;0;40.0;SP;3150.0;425.73972807020596;51612.30895157148;866.0;51980,47;2017.0
163;2021-11;0;42.0;CE;2000.0;2059.754690719049;0.0;785.0000000000001;41332,22;2015.0
164;2021-11;0;34.0;CE;13485.685822725496;6621.767205646276;0.0;450.3606534870819;50015,25;2021.0
165;2021-10;0;48.0;SP;9796.462413706759;0.0;0.0;618.0000000000001;49700,37;2020.0
166;2021-11;1;24.0;RJ;5507.314139989932;0.0;0.0;462.0;35451,17;2021.0
167;2021-12;0;36.0;CE;10798.704278874538;659.42;0.0;689.786999633527;32866,38;2020.0
168;2021-12;0;31.0;SP;10200.0;19209.388845040197;0.0;857.0790240192812;37509,77;2020.0
169;2021-12;0;47.0;PR;3200.0;1003.61;46254.00518687192;687.0000000000002;41719,82;2020.0
170;2021-12;0;30.0;MG;2650.0;22516.515244979524;59112.58;547.9999999999999;31946,79;2019.0
171;2021-12;0;27.0;RJ;11452.400288983306;8186.152969318606;0.0;284.9575733806022;31846,41;2020.0
172;2021-10;0;41.0;SP;10885.253541786868;2060.272265050896;24182.25891756612;729.9684288490778;41456,36;2020.0
173;2021-10;0;28.0;SP;2250.0;13851.514032755456;0.0;793.1658105708364;32961,24;2020.0
174;2021-10;0;59.0;RJ;1600.0;30495.064859928858;0.0;498.8144774726727;51151,21;2020.0
175;2021-12;0;45.0;MG;7511.279932153981;9875.997777226381;0.0;951.7291319771402;58270,85;2021.0
176;2021-11;0;33.0;SP;13680.66924732322;300.0;0.0;817.0000000000002;38582,69;2020.0
177;2021-12;0;57.0;SP;4210.384389482784;11616.014858069788;0.0;889.8604999492702;45269,12;2020.0
178;2021-12;0;34.0;RJ;3050.0;10412.849644369166;0.0;472.9999999999999;31207,71;2020.0
179;2021-10;0;49.0;CE;2377.4436795228803;6573.083715611662;11279.164208571656;710.0;32878,94;2021.0
180;2021-11;0;61.0;PR;14403.708770577996;1681.61;0.0;993.9155580957852;32899,75;2020.0
181;2021-10;0;41.0;SC;61247.41180999858;15001.461585995923;0.0;617.4850191731128;52584,34;2020.0
182;2021-12;0;64.0;CE;2050.0;7014.21;34914.43684014387;589.812808867106;34139,66;2020.0
183;2021-12;1;41.0;SP;5700.0;161558.61;12096.411098630113;483.9999999999999;37590,01;2020.0
184;2021-11;0;55.0;PR;12507.716991466059;28093.947285635517;32569.408528862117;777.2258215944692;36698,64;2020.0
185;2021-10;1;29.0;PR;28510.119517755014;0.0;0.0;780.2785683599509;46843,62;2020.0
186;2021-10;0;63.0;MG;34481.884995626075;54731.28577748147;47138.789059252005;902.0000000000001;48888,05;2020.0
187;2021-12;1;65.0;RJ;950.0;4831.779942367586;0.0;955.661936940563;40983,65;2020.0
188;2021-10;0;35.0;RJ;1400.0;3721.5706522916935;0.0;592.0;62567,40;2020.0
189;2021-12;0;28.0;SP;7548.346068871992;674.14;77981.81291988934;951.0;35054,18;2021.0
190;2021-11;0;45.0;PR;6521.668985293664;17954.521684354368;24892.45880453557;756.0000000000001;45320,01;2021.0
191;2021-12;0;69.0;CE;3250.0;9267.122095450895;18309.663978777826;641.0;29003,22;2021.0
192;2021-10;1;45.0;RJ;1450.0;1225.3309396488878;0.0;667.216348206815;35094,93;2020.0
193;2021-10;1;34.0;PR;23107.093738115993;18781.744747674795;0.0;522.1184725744436;47259,54;2020.0
194;2021-10;0;42.0;MG;8332.971991426533;529.2075752403482;0.0;962.9001731323244;34575,97;2021.0
195;2021-12;1;62.0;SP;15016.466028669593;9226.76702922499;22808.386299952086;610.9648383682506;40803,60;2021.0
196;2021-12;0;39.0;SC;8481.230918443725;978.564590272009;0.0;469.46990483948343;54326,61;2021.0
197;2021-11;1;25.0;CE;28611.208716526744;7009.0;0.0;950.0;40345,88;2020.0
198;2021-10;1;57.0;SC;23852.507760888173;8508.550065074702;0.0;576.0;64860,34;2011.0
199;2021-10;0;50.0;SP;13188.52575462612;1661.83;0.0;657.0;39536,30;2020.0
200;2021-10;1;29.0;SP;17615.95766699798;15675.484076053805;0.0;886.3881822876285;33891,20;2020.0
201;2021-12;0;45.0;MG;6485.061193216883;3146.9059310048306;0.0;962.8479820707739;39091,80;2020.0
202;2021-11;0;30.0;SP;7236.771901060882;162.4;0.0;736.060852850972;32420,10;2021.0
203;2021-10;0;38.0;RJ;2550.0;1850.5096766882589;0.0;773.0874770333489;38383,75;2020.0
204;2021-11;0;60.0;RJ;6932.385127511986;1124.511701068982;0.0;340.4632941509577;46252,75;2020.0
205;2021-10;0;25.0;RJ;11692.88604994838;2491.22;0.0;629.5320973119086;34931,58;2020.0
206;2021-11;0;26.0;SC;12168.1255250841;8702.292434643658;0.0;443.9999999999998;36849,86;2020.0
207;2021-12;0;27.0;SP;2571.4164904518425;4055.906809076136;10314.92249566313;714.6263503888858;27842,10;2020.0
208;2021-10;1;49.0;PR;14441.92614235279;17534.6076049061;0.0;888.3651730465149;48801,49;2021.0
5886;2021-10;1;34.0;RJ;12729.53766656862;12282.043216511558;23322.498689645407;788.036900797371;31069,99;2021.0
2248;2021-10;0;29.0;PR;8949.599470069079;5635.976619845169;0.0;929.0883962007356;32807,18;2021.0
211;2021-10;0;40.0;SP;13493.580081445234;26809.2327956393;118993.89102742812;714.9999999999998;52641,06;2020.0
212;2021-10;0;55.0;SP;6511.944419070305;1017.31;0.0;672.9838278428886;31214,34;2021.0
4886;2021-12;0;36.0;SC;1950.0;13756.879980792792;2305.15;975.4950022970935;38149,68;2020.0
214;2021-11;0;43.0;SP;2920.9158335125303;14271.993895484537;42001.308180525186;733.0;51414,07;2020.0
215;2021-12;0;63.0;SP;2900.0;7518.5;0.0;590.0;42805,49;2021.0
216;2021-11;0;29.0;SP;13229.757666337311;0.0;0.0;761.6747772139491;37612,99;2020.0
217;2021-10;1;44.0;RJ;15873.483156684684;8498.833039000787;0.0;754.9999999999998;31289,83;2020.0
218;2021-11;1;41.0;SP;19279.727664426606;256242.49;0.0;807.0;39811,38;2019.0
219;2021-12;0;25.0;SP;4464.076826309991;1387.31;0.0;947.2406705345361;39940,01;2021.0
220;2021-10;0;26.0;SP;4653.399887465044;14595.111309875783;0.0;603.0;36553,89;2021.0
221;2021-11;0;58.0;SP;2900.0;5757.261929457933;0.0;381.6131876842369;48063,10;2020.0
222;2021-11;0;50.0;MG;1150.0;11640.671020151249;0.0;550.0000000000001;34144,45;2020.0
223;2021-12;0;32.0;SP;1600.0;1128.4220880001312;0.0;813.5000216044887;40274,87;2021.0
224;2021-11;0;48.0;MG;4278.43608309823;0.0;0.0;931.0280712221038;33211,68;2020.0
225;2021-12;0;28.0;MG;33226.95753406026;11.53;0.0;972.024926209454;48546,18;2020.0
226;2021-11;1;68.0;RJ;22503.416004503386;5930.673204187001;0.0;984.6586385248609;38705,23;2020.0
227;2021-10;0;27.0;MG;23910.867443980023;4565.053189356158;22557.31951569685;909.2151082683254;45260,66;2021.0
228;2021-11;0;47.0;SP;6950.0;2463.3;76368.71173936504;931.8710585378175;37301,98;2021.0
229;2021-10;0;40.0;SC;2250.0;5802.953820142765;0.0;819.9999999999998;34488,05;2021.0
230;2021-12;1;37.0;RJ;28203.359001550165;4878.109438112722;0.0;443.0000000000002;45883,61;2021.0
231;2021-10;0;44.0;SP;6708.712417795329;8607.315724098557;0.0;799.9999999999998;41329,32;2020.0
232;2021-10;0;35.0;SP;9920.509174968458;18373.7978637263;0.0;674.0000000000002;56572,28;2018.0
233;2021-12;0;62.0;SP;1800.0;3306.580974713296;0.0;516.0;48087,05;2021.0
234;2021-10;0;43.0;MG;4700.0;2345.01;99734.9984642544;625.9999999999998;49771,50;2018.0
235;2021-10;0;38.0;SC;2004.6226016056773;8444.460856082327;0.0;847.2097058451448;37521,55;2020.0
236;2021-11;1;64.0;RJ;9042.965733753499;10570.88750053914;0.0;829.929818859832;34409,03;2020.0
237;2021-11;0;49.0;SP;5363.330898349864;358.0;0.0;624.0000000000001;43141,15;2020.0
238;2021-12;0;60.0;SP;8958.954800860709;4969.14;0.0;658.0952996092187;42911,67;2021.0
239;2021-11;0;33.0;SP;17901.207081801876;10007.75122363818;0.0;850.0;44690,98;2020.0
240;2021-11;0;32.0;MG;2102.602014383875;14912.31750043388;0.0;924.0503253493841;39464,05;2021.0
241;2021-10;0;49.0;SP;9740.493873657608;7182.81;0.0;860.5054742224569;49363,09;2020.0
242;2021-11;0;46.0;CE;1300.0;11523.983993735605;0.0;767.983803182626;37544,99;2021.0
243;2021-11;1;31.0;SP;8827.571932502677;821.26;0.0;641.0;32401,02;2020.0
244;2021-11;1;47.0;RJ;2900.0;6806.708018832243;0.0;566.0;27224,15;2021.0
245;2021-11;0;38.0;PR;19970.653159987745;5779.91;0.0;432.6960130174357;35827,89;2020.0
246;2021-11;1;59.0;SP;23565.54401253362;12597.2769173358;0.0;742.8047788245442;36155,27;2021.0
247;2021-12;0;31.0;MG;13731.036852931858;3197.5;0.0;613.0;35970,24;2021.0
6650;2021-10;1;50.0;CE;4200.0;41979.79661709578;28291.384093191;911.6245792753462;33388,73;2021.0
249;2021-10;0;46.0;SC;10167.464647415825;3612.6036618525877;59550.996355394105;582.0;46141,42;2020.0
250;2021-10;0;46.0;SP;5810.931366356885;550.0;0.0;744.9999999999999;37549,31;2021.0
251;2021-10;0;39.0;RJ;16014.368286255889;17667.106866122165;0.0;608.9999999999999;33674,15;2020.0
252;2021-12;0;66.0;SP;1200.0;7944.61;0.0;942.9999999999999;44173,55;2021.0
253;2021-12;0;57.0;SC;3300.0;14112.51;0.0;934.0;34983,32;2021.0
254;2021-10;1;32.0;SP;2750.0;10266.911572131514;0.0;598.0000000000002;37872,36;2016.0
255;2021-10;0;36.0;SP;10906.300565222224;4756.7758570717115;0.0;907.9069675853558;53054,98;2021.0
256;2021-12;1;32.0;RJ;4850.0;0.0;0.0;793.5773407930562;24347,15;2017.0
257;2021-10;0;27.0;PR;5068.59443696519;9803.343966835633;0.0;688.9999999999998;30409,33;2017.0
258;2021-10;0;43.0;SP;27782.809311680292;16222.683824132611;71534.23221061296;905.9999999999999;39668,93;2020.0
259;2021-12;1;44.0;RJ;6561.146970928584;200.81;0.0;912.7588520274799;29404,63;2020.0
260;2021-10;1;35.0;SP;1150.0;0.0;0.0;740.3420014546791;41934,47;2021.0
261;2021-11;0;31.0;SP;2550.0;375.69;33075.252679828656;825.1309178557522;31990,32;2020.0
262;2021-10;0;50.0;SP;2450.0;318.84;0.0;763.0000000000001;37498,79;2020.0
263;2021-11;0;51.0;SP;2400.0;25281.34;0.0;835.1684900865072;30041,17;2020.0
264;2021-10;0;62.0;SP;34600.0;42381.963636875946;180823.41791872037;999.9999025213692;36409,37;2021.0
265;2021-11;0;66.0;RJ;2150.0;14988.607831041143;0.0;900.0000000000001;35307,15;2021.0
266;2021-10;0;33.0;SC;5597.652425836215;9229.222509269912;0.0;872.765367942496;43646,05;2020.0
267;2021-12;0;29.0;MG;8427.208588521502;15061.765695774791;0.0;732.047740685731;39584,43;2020.0
